date,cd,kt,bx,xyj
2019-07-19,-12.1,-11.44,9,-7.3
2019-06-19,-1.7,-10.79,2.8,19.8
2019-05-19,0.8,-3.72,0.6,19.8
2019-04-19,5.7,2.89,2.1,9.4
2019-03-19,3.1,3.48,1.9,5.5
2019-02-19,#N/A,-4.31,#N/A,#N/A
2019-01-19,#N/A,7.26,#N/A,#N/A
2019-12-18,10.5,3.41,5.8,-2.9
2019-11-18,7.9,1.08,7.6,-5.9
2019-10-18,17,-20.55,5.2,4
2019-09-18,10.6,-10.69,6,-2.8
2019-08-18,18.4,-16.16,0.5,6.8
2019-07-18,16,2.55,-7.3,-3.6
2019-06-18,4.2,15.33,-3.6,-3.9
2019-05-18,24.3,15.19,12.1,5.8
2019-04-18,20.4,17.85,14.5,5.7
2019-03-18,9.8,13.33,-2.6,-2.4
2019-02-18,#N/A,-6.81,#N/A,#N/A
2019-01-18,#N/A,25.07,#N/A,#N/A
2019-12-17,6.9,8.77,3.7,-2.5
2019-11-17,8.8,9.47,10,-8.9
2019-10-17,10.9,17.94,18.6,5
2019-09-17,3.5,14.72,14.2,10.3
2019-08-17,-3.1,30.07,17,1.3
2019-07-17,-2.4,48.22,15.5,3
2019-06-17,-3.4,45,1.8,0.8
2019-05-17,-6.6,40.85,6.3,2.6
2019-04-17,-11.6,25.49,3.1,4.2
2019-03-17,-5.4,36.03,14.1,5.1
2019-02-17,#N/A,64.54,#N/A,#N/A
2019-01-17,#N/A,18.23,#N/A,#N/A
2019-12-16,5.7,46.34,7.2,8.5
2019-11-16,4.4,43.12,24.3,19.4
2019-10-16,9,57.47,27,3.4
2019-09-16,-3.9,38.98,16.4,-9.3
2019-08-16,4.2,33.05,9,2.7
2019-07-16,8.5,15.19,7.3,4.5
2019-06-16,15.1,-6.54,-2.4,9.1
2019-05-16,10.3,-9.84,-11.6,9.1
2019-04-16,1.8,-15.88,-9,-2.4
2019-03-16,25.2,-19.57,11.5,8.6
2019-02-16,#N/A,0.41,#N/A,#N/A
2019-01-16,#N/A,-2.16,#N/A,#N/A
2019-12-15,17,#N/A,-6.1,-9.3
2019-11-15,13.8,#N/A,-2.5,-6.9
2019-10-15,12.5,#N/A,-8.6,-4.7
2019-09-15,8.2,#N/A,-4.5,13.1
2019-08-15,13,#N/A,-3.6,0.9
2019-07-15,6.2,#N/A,-5.7,-5.8
2019-06-15,15.3,#N/A,2.6,3.1
2019-05-15,-2.7,#N/A,3,-1
2019-04-15,0.6,#N/A,0.5,2.8
2019-03-15,-2.4,#N/A,-9,6.6
2019-02-15,-8.2,#N/A,-4.8,-0.6
2019-12-14,-6.7,#N/A,-6.3,3.9
2019-11-14,-6.5,#N/A,-6.8,-6.4
2019-10-14,-5.5,#N/A,0.2,-3.6
2019-09-14,7,#N/A,-4.8,-10.3
2019-08-14,3,#N/A,-4,-7.5
2019-07-14,14.2,#N/A,-5.2,6.2
2019-06-14,7.4,#N/A,2.8,-2.3
2019-05-14,18.7,#N/A,-3.4,-7.4
2019-04-14,15.7,#N/A,-0.9,1.1
2019-03-14,19.9,#N/A,1.3,-3
2019-02-14,#N/A,#N/A,#N/A,#N/A
2019-01-14,#N/A,#N/A,#N/A,#N/A
2019-12-13,0.6,#N/A,-1.4,9.5
2019-11-13,-3.3,#N/A,12.7,9.5
