date,cpi_fsp
2019-08-31,1.10
2019-07-31,1.30
2019-06-30,1.40
2019-05-31,1.60
2019-04-30,1.70
2019-03-31,1.80
2019-02-28,1.70
2019-01-31,1.70
2018-12-31,1.70
2018-11-30,2.10
2018-10-31,2.40
2018-09-30,2.20
2018-08-31,2.50
2018-07-31,2.40
2018-06-30,2.20
2018-05-31,2.20
2018-04-30,2.10
2018-03-31,2.10
2018-02-28,2.50
2018-01-31,2.00
2017-12-31,2.40
2017-11-30,2.50
2017-10-31,2.40
2017-09-30,2.40
2017-08-31,2.30
2017-07-31,2.00
2017-06-30,2.20
2017-05-31,2.30
2017-04-30,2.40
2017-03-31,2.30
2017-02-28,2.20
2017-01-31,2.50
2016-12-31,2.00
2016-11-30,1.80
2016-10-31,1.70
2016-09-30,1.60
2016-08-31,1.40
2016-07-31,1.40
2016-06-30,1.20
2016-05-31,1.10
2016-04-30,1.10
2016-03-31,1.00
2016-02-29,1.00
2016-01-31,1.20
2015-12-31,1.09
2015-11-30,1.06
2015-10-31,0.93
2015-09-30,1.02
2015-08-31,1.09
2015-07-31,1.11
2015-06-30,1.16
2015-05-31,1.05
2015-04-30,0.89
2015-03-31,0.89
2015-02-28,0.95
2015-01-31,0.59
2014-12-31,0.83
2014-11-30,1.01
2014-10-31,1.16
2014-09-30,1.28
2014-08-31,1.47
2014-07-31,1.64
2014-06-30,1.67
2014-05-31,1.68
2014-04-30,1.56
2014-03-31,1.55
2014-02-28,1.59
2014-01-31,1.89
2013-12-31,1.74
2013-11-30,1.63
2013-10-31,1.62
2013-09-30,1.59
2013-08-31,1.53
2013-07-31,1.56
2013-06-30,1.59
2013-05-31,1.55
2013-04-30,1.58
2013-03-31,1.77
2013-02-28,1.85
2013-01-31,1.61
2012-12-31,1.70
2012-11-30,1.60
2012-10-31,1.70
2012-09-30,1.65
2012-08-31,1.42
2012-07-31,1.47
2012-06-30,1.40
2012-05-31,1.43
2012-04-30,1.70
2012-03-31,1.76
2012-02-29,1.73
2012-01-31,1.83
2011-12-31,1.85
2011-11-30,2.20
2011-10-31,2.70
2011-09-30,2.89
2011-08-31,3.01
2011-07-31,2.94
2011-06-30,2.97
2011-05-31,2.87
2011-04-30,2.73
2011-03-31,2.67
2011-02-28,2.31
2011-01-31,2.60
2010-12-31,2.10
2010-11-30,1.95
2010-10-31,1.61
2010-09-30,1.44
2010-08-31,1.51
2010-07-31,1.58
2010-06-30,1.61
2010-05-31,1.56
2010-04-30,1.29
2010-03-31,0.98
2010-02-28,0.98
2010-01-31,0.46
