date,ckzbj,USDCNY,hqckll,dqckll_3,dqckll_6,dqdkll_1y,ccqdklv_5y,gjjdkll_5y,shibor_gy,shibor_1,shibor_1y,zzgz_1,zzgz_2,zzgz_1y,zzgz_10y
2010/01/04,,6.6522 ,,,,,,,1.1175 ,1.7728 ,2.2502 ,1.0579 ,1.2036 ,1.5000 ,3.6603 
2010/01/05,,6.6547 ,,,,,,,1.1150 ,1.7580 ,2.2501 ,1.0402 ,1.1965 ,1.5098 ,3.6606 
2010/01/06,,6.6482 ,,,,,,,1.1183 ,1.7513 ,2.2501 ,1.0639 ,1.2189 ,1.5238 ,3.6425 
2010/01/07,,6.6441 ,,,,,,,1.0797 ,1.7444 ,2.2551 ,1.0340 ,1.2200 ,1.5489 ,3.6543 
2010/01/08,,6.6263 ,,,,,,,1.0608 ,1.7463 ,2.2594 ,1.0302 ,1.2342 ,1.5411 ,3.6614 
2010/01/11,,6.5933 ,,,,,,,1.0471 ,1.7401 ,2.2629 ,1.0278 ,1.2442 ,1.5330 ,3.6696 
2010/01/12,16.00 ,6.6201 ,,,,,,,1.0336 ,1.7392 ,2.2682 ,1.0256 ,1.2542 ,1.5589 ,3.6694 
2010/01/13,,6.6188 ,,,,,,,1.0854 ,1.7426 ,2.2802 ,1.2086 ,1.3471 ,1.6139 ,3.7053 
2010/01/14,,6.6166 ,,,,,,,1.0475 ,1.7448 ,2.2869 ,1.0186 ,1.2245 ,1.6039 ,3.6868 
2010/01/15,,6.6156 ,,,,,,,1.0283 ,1.7426 ,2.2916 ,0.9990 ,1.2045 ,1.6019 ,3.6871 
2010/01/18,,6.6028 ,,,,,,,1.0271 ,1.7371 ,2.2960 ,0.9970 ,1.2016 ,1.6069 ,3.6852 
2010/01/19,,6.6079 ,,,,,,,1.0271 ,1.7368 ,2.3027 ,0.9965 ,1.2006 ,1.5968 ,3.6559 
2010/01/20,,6.6191 ,,,,,,,1.0275 ,1.7375 ,2.3120 ,0.9914 ,1.1896 ,1.5651 ,3.6400 
2010/01/21,,6.6233 ,,,,,,,1.0283 ,1.7397 ,2.3176 ,0.9927 ,1.1914 ,1.5994 ,3.6558 
2010/01/22,,6.6338 ,,,,,,,1.0423 ,1.7396 ,2.3213 ,0.9954 ,1.1818 ,1.6066 ,3.6300 
2010/01/25,,6.6307 ,,,,,,,1.1879 ,1.7431 ,2.3238 ,1.0643 ,1.1677 ,1.6147 ,3.6000 
2010/01/26,,6.6295 ,,,,,,,1.1958 ,1.7467 ,2.3261 ,1.0774 ,1.1864 ,1.6346 ,3.5838 
2010/01/27,,6.6496 ,,,,,,,1.3150 ,1.7563 ,2.3286 ,1.1466 ,1.2014 ,1.6346 ,3.5648 
2010/01/28,,6.6458 ,,,,,,,1.3588 ,1.8074 ,2.3311 ,1.1696 ,1.2018 ,1.6446 ,3.5879 
2010/01/29,,6.6253 ,,,,,,,1.3592 ,1.8129 ,2.3326 ,1.1965 ,1.2522 ,1.6529 ,3.5800 
2010/01/31,,,,,,5.31 ,,,,,,,,,
2010/02/01,,6.6426 ,,,,,,,1.3546 ,1.8311 ,2.3332 ,1.1916 ,1.2523 ,1.6445 ,3.5406 
2010/02/02,,6.6380 ,,,,,,,1.3575 ,1.8421 ,2.3339 ,1.2069 ,1.2763 ,1.6446 ,3.4956 
2010/02/03,,6.6513 ,,,,,,,1.3567 ,1.8511 ,2.3336 ,1.2342 ,1.2987 ,1.6446 ,3.4648 
2010/02/04,,6.6501 ,,,,,,,1.3575 ,1.8503 ,2.3340 ,1.2486 ,1.2929 ,1.6447 ,3.5006 
2010/02/05,,6.6689 ,,,,,,,1.3583 ,1.8545 ,2.3348 ,1.2358 ,1.3104 ,1.6532 ,3.4733 
2010/02/08,,6.6872 ,,,,,,,1.3567 ,1.8539 ,2.3359 ,1.2467 ,1.3277 ,1.6447 ,3.4706 
2010/02/09,,6.6635 ,,,,,,,1.4050 ,1.8810 ,2.3370 ,1.2539 ,1.3129 ,1.6448 ,3.4743 
2010/02/10,,6.6797 ,,,,,,,1.4992 ,1.8975 ,2.3378 ,1.2952 ,1.3180 ,1.6447 ,3.4615 
2010/02/11,,6.6775 ,,,,,,,2.4967 ,2.0650 ,2.3445 ,1.3789 ,1.3810 ,1.6547 ,3.4516 
2010/02/12,16.50 ,6.6693 ,,,,,,,2.2538 ,2.0106 ,2.3473 ,1.3318 ,1.3425 ,1.6600 ,3.4570 
2010/02/17,,6.6534 ,,,,,,,,,,,,,
2010/02/18,,6.6540 ,,,,,,,,,,,,,
2010/02/19,,6.6563 ,,,,,,,,,,,,,
2010/02/20,,,,,,,,,1.9858 ,2.0142 ,2.3510 ,1.3171 ,1.3538 ,1.6793 ,3.4889 
2010/02/21,,,,,,,,,1.4815 ,1.9191 ,2.3492 ,1.2612 ,1.3241 ,1.6793 ,3.4841 
2010/02/22,,6.6459 ,,,,,,,1.4313 ,1.8679 ,2.3497 ,1.2407 ,1.3305 ,1.6800 ,3.5149 
2010/02/23,,6.6626 ,,,,,,,1.4321 ,1.8569 ,2.3489 ,1.2510 ,1.3311 ,1.6801 ,3.5100 
2010/02/24,,6.6652 ,,,,,,,1.4375 ,1.8569 ,2.3496 ,1.2366 ,1.3076 ,1.6801 ,3.4646 
2010/02/25,,6.6638 ,,,,,,,1.4521 ,1.8533 ,2.3500 ,1.2382 ,1.3080 ,1.6801 ,3.4448 
2010/02/26,,6.6583 ,,,,,,,1.4315 ,1.8561 ,2.3501 ,1.2120 ,1.2756 ,1.6294 ,3.3753 
2010/02/28,,,,,,5.31 ,,,,,,,,,
2010/03/01,,6.6473 ,,,,,,,1.4295 ,1.8440 ,2.3510 ,1.2110 ,1.2757 ,1.6094 ,3.3613 
2010/03/02,,6.6473 ,,,,,,,1.4242 ,1.8358 ,2.3518 ,1.2045 ,1.2658 ,1.5396 ,3.3414 
2010/03/03,,6.6465 ,,,,,,,1.4075 ,1.8341 ,2.3522 ,1.1838 ,1.2408 ,1.5000 ,3.3169 
2010/03/04,,6.6546 ,,,,,,,1.4017 ,1.8363 ,2.3525 ,1.1789 ,1.2368 ,1.5100 ,3.3518 
2010/03/05,,6.6565 ,,,,,,,1.3842 ,1.8361 ,2.3524 ,1.1699 ,1.2371 ,1.5203 ,3.3537 
2010/03/08,,6.6322 ,,,,,,,1.3785 ,1.8419 ,2.3521 ,1.1563 ,1.2148 ,1.5105 ,3.3602 
2010/03/09,,6.6447 ,,,,,,,1.3663 ,1.8379 ,2.3520 ,1.1611 ,1.2380 ,1.5106 ,3.3817 
2010/03/10,,6.6359 ,,,,,,,1.3592 ,1.8340 ,2.3520 ,1.1588 ,1.2410 ,1.5364 ,3.4030 
2010/03/11,,6.6356 ,,,,,,,1.3563 ,1.8299 ,2.3521 ,1.1588 ,1.2441 ,1.5274 ,3.4559 
2010/03/12,,6.6279 ,,,,,,,1.3446 ,1.8189 ,2.3524 ,1.1505 ,1.2396 ,1.5378 ,3.4526 
2010/03/15,,6.6407 ,,,,,,,1.3375 ,1.8019 ,2.3520 ,1.1571 ,1.2609 ,1.5280 ,3.4484 
2010/03/16,,6.6492 ,,,,,,,1.3354 ,1.7927 ,2.3521 ,1.1582 ,1.2655 ,1.5281 ,3.4331 
2010/03/17,,6.6668 ,,,,,,,1.3275 ,1.7879 ,2.3521 ,1.1554 ,1.2659 ,1.5281 ,3.3829 
2010/03/18,,6.6645 ,,,,,,,1.3246 ,1.7836 ,2.3526 ,1.1636 ,1.2859 ,1.5181 ,3.3639 
2010/03/19,,6.6641 ,,,,,,,1.3238 ,1.7792 ,2.3525 ,1.1585 ,1.2764 ,1.5185 ,3.3805 
2010/03/22,,6.6729 ,,,,,,,1.3163 ,1.7753 ,2.3530 ,1.1798 ,1.3049 ,1.5083 ,3.4216 
2010/03/23,,6.6754 ,,,,,,,1.3146 ,1.7682 ,2.3535 ,1.1877 ,1.3081 ,1.5175 ,3.4062 
2010/03/24,,6.6695 ,,,,,,,1.3133 ,1.7652 ,2.3530 ,1.1887 ,1.3094 ,1.5176 ,3.3961 
2010/03/25,,6.6814 ,,,,,,,1.3083 ,1.7629 ,2.3528 ,1.1927 ,1.3136 ,1.5076 ,3.4168 
2010/03/26,,6.6758 ,,,,,,,1.3042 ,1.7603 ,2.3525 ,1.1609 ,1.2635 ,1.5181 ,3.4582 
2010/03/29,,6.6671 ,,,,,,,1.3025 ,1.7532 ,2.3533 ,1.1328 ,1.2233 ,1.5076 ,3.4784 
2010/03/30,,6.6573 ,,,,,,,1.2946 ,1.7461 ,2.3526 ,1.1028 ,1.1833 ,1.5301 ,3.4959 
2010/03/31,,6.6595 ,,,,5.31 ,,,1.3388 ,1.7403 ,2.3525 ,1.1315 ,1.1934 ,1.5501 ,3.4818 
