date,hbcs
2019/6/1,6.14
2019/3/1,6.22
2018/12/1,5.52
2018/9/1,5.67
2018/6/1,5.56
2018/3/1,5.41
2017/12/1,5.21
2017/9/1,5.41
2017/6/1,5.37
2017/3/1,5.29
2016/12/1,5.02
2016/9/1,5.22
2016/6/1,5.16
2016/3/1,5.1
2015/12/1,5.04
2015/9/1,4.86
2015/6/1,4.62
2015/3/1,4.31
2014/12/1,4.18
2014/9/1,4.21
2014/6/1,4.32
2014/3/1,4.22
2013/12/1,4.08
2013/9/1,4.09
2013/6/1,4.09
2013/3/1,4.08
2012/12/1,3.86
2012/9/1,4
2012/6/1,4.06
2012/3/1,3.95
2011/12/1,3.79
2011/9/1,3.71
2011/6/1,3.84
2011/3/1,3.94
2010/12/1,3.92
2010/9/1,4.32
2010/6/1,4.37
2010/3/1,4.35
2009/12/1,4.11
2009/9/1,4.39
2009/6/1,4.59
2009/3/1,4.27
2008/12/1,3.68
2008/9/1,3.87
2008/6/1,3.84
2008/3/1,4.06
2007/12/1,3.97
2007/9/1,4.46
2007/6/1,4.55
2007/3/1,4.73
2006/12/1,4.44
2006/9/1,5.03
2006/6/1,5.13
2006/3/1,4.92
2005/12/1,4.67
2005/9/1,4.7
2005/6/1,4.84
2005/3/1,4.57
2004/12/1,4.29
2004/9/1,4.59
2004/6/1,4.64
2004/3/1,4.59
2003/12/1,4.23
2003/9/1,4.65
2003/6/1,4.77
2003/3/1,4.42
2002/12/1,4.11
2002/6/1,4.22
2002/3/1,4
2001/12/1,3.95
2001/9/1,4.26
2001/6/1,4.3
