date,syhg,mtkc,gysy,fdc,,,
2010-01-04,4183.38,6632.53,2290.69,3536.03,,,
2010-01-05,4210.58,6861.99,2307.48,3459.33,,,
2010-01-06,4122.38,6886.06,2305.29,3465.8,,,
2010-01-07,4014.26,6762.17,2256.74,3442.29,,,
2010-01-08,3979.34,6669.58,2273.21,3491.63,,,
2010-01-11,3961.65,6605.67,2281.74,3423.24,,,
2010-01-12,4048.14,6663.54,2321.23,3471.89,,,
2010-01-13,3909.98,6264.07,2287.6,3360.59,,,
2010-01-14,3938.24,6345.25,2323.83,3400.17,,,
2010-01-15,3976.67,6320.41,2328.27,3467.07,,,
2010-01-18,3944.05,6296.64,2351.22,3518.35,,,
2010-01-19,3978.52,6348.14,2343.86,3518.56,,,
2010-01-20,3795.77,6093.86,2287.91,3403.4,,,
2010-01-21,3762.45,5936.75,2298.48,3445.23,,,
2010-01-22,3716.89,5743.3,2253.81,3361.2,,,
2010-01-25,3696.52,5716.12,2243.08,3305.08,,,
2010-01-26,3551.82,5477.61,2172.72,3150.46,,,
2010-01-27,3504.8,5485.74,2160.68,3142.85,,,
2010-01-28,3514.54,5532.81,2173.9,3173.49,,,
2010-01-29,3489.22,5495.81,2173.9,3162.76,,,
2010-02-01,3406.16,5236.91,2137.03,3190.99,,,
2010-02-02,3392.75,5260.36,2126.32,3158.44,,,
2010-02-03,3465.91,5642.74,2171.91,3229.02,,,
2010-02-04,3423.47,5543.17,2186.99,3258,,,
2010-02-05,3341.1,5312.73,2167.58,3163.02,,,
2010-02-08,3310.04,5383.21,2165.79,3141.35,,,
2010-02-09,3324.32,5431.06,2183.98,3129.64,,,
2010-02-10,3373.08,5536.74,2193.9,3175.16,,,
2010-02-11,3386.99,5522.98,2187.34,3197.95,,,
2010-02-12,3437.7,5637.19,2202.66,3227.05,,,
2010-02-22,3405.11,5573.13,2199.73,3192.83,,,
2010-02-23,3364.89,5441.57,2217.12,3174.95,,,
2010-02-24,3418.13,5508.56,2266.71,3230.69,,,
2010-02-25,3464.76,5613.3,2288.97,3328.44,,,
2010-02-26,3466.67,5540.98,2284.18,3314.9,,,
2010-03-01,3500.78,5640.86,2312.67,3336.04,,,
2010-03-02,3465.31,5518.06,2311.85,3358.82,,,
2010-03-03,3477.47,5583.1,2340.17,3357.26,,,
2010-03-04,3394.61,5452.44,2264.82,3276.43,,,
2010-03-05,3394.28,5423.18,2266.7,3275.61,,,
2010-03-08,3416.7,5485.06,2280.23,3329.27,,,
2010-03-09,3435.09,5618.69,2279.35,3408.35,,,
2010-03-10,3454.69,5549.08,2257.76,3351.1,,,
2010-03-11,3518.31,5522.94,2251.52,3328.65,,,
2010-03-12,3464.18,5443.98,2221.34,3268.86,,,
2010-03-15,3414.11,5299.18,2206.31,3255.56,,,
2010-03-16,3467.86,5258.56,2218.67,3290.68,,,
2010-03-17,3516.44,5382.11,2261.15,3367.68,,,
2010-03-18,3514.17,5418.83,2255.41,3408.56,,,
2010-03-19,3559.01,5496.22,2269.71,3437.84,,,
2010-03-22,3560.78,5538.07,2279.21,3430.35,,,
2010-03-23,3550.66,5560.14,2264.13,3391.59,,,
2010-03-24,3547.26,5536.22,2273.57,3391,,,
2010-03-25,3517.44,5445.55,2238.44,3331.37,,,
2010-03-26,3608.16,5525.36,2267.27,3382.66,,,
2010-03-29,3672.54,5788.31,2290.99,3454.5,,,
2010-03-30,3658.79,5848.69,2290.95,3463.25,,,
2010-03-31,3598.29,5761.51,2305.91,3470.74,,,
2010-04-01,3636.09,5848.12,2333.72,3564.01,,,
2010-04-02,3677.74,6007.14,2330.59,3576.72,,,
2010-04-06,3636.81,6099.98,2327.54,3513.84,,,
2010-04-07,3605.87,6070.81,2328.54,3466.72,,,
2010-04-08,3537.37,5869.07,2315.19,3408.36,,,
2010-04-09,3564.47,5954.89,2338.26,3427.38,,,
2010-04-12,3493.26,5884.22,2352.01,3318.29,,,
2010-04-13,3566.7,5981.36,2347.76,3327,,,
2010-04-14,3557.7,6009.28,2359.77,3328.27,,,
2010-04-15,3609.59,6100.89,2339.62,3275.07,,,
2010-04-16,3541.82,5964.36,2327.65,3252.9,,,
2010-04-19,3360.01,5564.52,2248.34,2988.09,,,
2010-04-20,3297.72,5575.28,2251.23,2882.29,,,
2010-04-21,3328.47,5780.38,2333.17,2953.67,,,
2010-04-22,3265.26,5764.97,2336.65,2903.11,,,
2010-04-23,3215.89,5858.77,2309.84,2910.31,,,
2010-04-26,3191.56,5813.44,2293.24,2881.31,,,
2010-04-27,3117.47,5691.78,2262.58,2852.22,,,
2010-04-28,3126.13,5674.46,2235.81,2845.85,,,
2010-04-29,3093.02,5520.19,2186.84,2820.96,,,
2010-04-30,3125.44,5574.8,2168.63,2805.41,,,
2010-05-04,3091.21,5577.44,2146.1,2656.92,,,
2010-05-05,3073.58,5552.35,2171.89,2702.04,,,
