date,jtf
2019/9/6,-800.00
2019/8/30,-200.00 
2019/8/23,-100.00 
2019/8/16,300.00 
2019/8/2,-500.00 
2019/7/26,500.00 
2019/7/19,1600.00 
2019/7/12,-200.00 
2019/7/5,-1500.00 
2019/6/21,1200.00 
2019/6/14,-500.00 
2019/6/7,0.00 
2019/5/31,800.00 
2019/5/24,800.00 
2019/5/17,-200.00 
2019/5/10,200.00 
2019/4/26,-400.00 
2019/4/19,400.00 
2019/3/29,-600.00 
2019/3/22,600.00 
2019/3/15,200.00 
2019/3/8,-400.00 
2019/3/1,400.00 
2019/2/22,200.00 
2019/2/15,-200.00 
2019/2/1,1000.00 
2019/1/25,-800.00 
2019/1/18,200.00 
2019/1/11,-1700.00 
2019/1/4,-700.00 
2018/12/28,-1400.00 
2018/12/21,1600.00 
2018/11/2,-1200.00 
2018/10/26,1200.00 
2018/10/19,300.00 
2018/10/12,-1000.00 
2018/9/28,-900.00 
2018/9/21,2000.00 
2018/9/14,600.00 
2018/8/31,-1200.00 
2018/8/24,1200.00 
2018/8/17,400.00 
2018/8/3,-1300.00 
2018/7/27,-1700.00 
2018/7/20,3000.00 
2018/7/13,-300.00 
2018/7/6,-200.00 
2018/6/29,-100.00 
2018/6/22,500.00 
2018/6/15,-200.00 
2018/6/8,200.00 
2018/6/1,300.00 
2018/5/25,0.00 
2018/5/18,1800.00 
2018/5/11,-1000.00 
2018/5/4,0.00 
2018/4/27,0.00 
2018/4/20,1300.00 
2018/4/13,-300.00 
2018/4/6,-200.00 
2018/3/30,-700.00 
2018/3/23,0.00 
2018/3/16,900.00 
2018/3/9,-1000.00 
2018/3/2,1500.00 
2018/2/23,3500.00 
2018/2/9,-400.00 
2018/2/2,-1400.00 
2018/1/26,200.00 
2018/1/19,500.00 
2018/1/12,-400.00 
2018/1/5,-1600.00 
2017/12/29,-1200.00 
2017/12/22,2600.00 
2017/12/15,200.00 
2017/12/8,-900.00 
2017/12/1,0.00 
2017/11/24,200.00 
2017/11/17,1500.00 
2017/11/10,-1600.00 
2017/11/3,400.00 
2017/10/27,1400.00 
2017/10/20,0.00 
