da,zb,asset,position,flag,ret,nav,benchmark,ii,da,year,month,day
2010-02-26,0.0,2729.1597,0,-1,0.0,1.0,1.0,0,2010-02-26,2010,02,26
2015-10-26,0.6500000000000012,1435.08,0,-1,-0.47416781802838437,1.0,0.5258321819716156,1,2015-10-26,2015,10,26
2016-01-26,1.75,1379.22,0,-1,-0.038924659252445815,1.0,0.5053643434644004,2,2016-01-26,2016,01,26
2016-04-26,0.3500000000000014,1769.7,0,-1,0.28311654413364074,1.0,0.6484413499144077,3,2016-04-26,2016,04,26
2016-07-26,-0.5000000000000018,1791.36,0,1,0.012239362603831072,1.0,0.6563778587233279,4,2016-07-26,2016,07,26
2016-10-26,-0.049999999999998934,1937.64,1,1,0.08165862808145774,1.0816586280814577,0.7099767741697197,5,2016-10-26,2016,10,26
2017-01-26,1.549999999999999,2506.34,1,-1,0.29350137280402966,1.399126920328689,0.918355932047509,6,2017-01-26,2017,01,26
2017-04-26,-0.15000000000000036,2334.82,0,1,-0.06843445023420602,1.399126920328689,0.8555087487185158,7,2017-04-26,2017,04,26
2017-07-26,-2.8000000000000007,2559.66,1,1,0.09629864400681831,1.5338609455497774,0.9378930811560788,8,2017-07-26,2017,07,26
2017-10-26,0.8000000000000007,2699.57,1,-1,0.05465960322855401,1.617701176241303,0.989157944842876,9,2017-10-26,2017,10,26
2018-01-26,1.1999999999999993,2835.55,0,-1,0.05037098500872372,1.617701176241303,1.0389828048538163,10,2018-01-26,2018,01,26
2018-04-26,-0.40000000000000036,2669.53,0,1,-0.058549487753698615,1.617701176241303,0.9781508938447244,11,2018-04-26,2018,04,26
2018-07-26,-0.6499999999999986,2749.14,1,1,0.029821728918573598,1.6659438221904288,1.0073210446424223,12,2018-07-26,2018,07,26
2018-10-26,-0.5,2870.59,1,1,0.04417745185767186,1.7395409751928324,1.0518219215973328,13,2018-10-26,2018,10,26
2019-01-25,-1.049999999999999,2844.02,1,1,-0.00925593693282567,1.7234398936343813,1.0420863242264642,14,2019-01-25,2019,01,25
2019-04-26,-0.34999999999999964,3136.22,1,1,0.10274189351692309,1.9005093716689823,1.1491522463855814,15,2019-04-26,2019,04,26
2019-07-26,0.0,3435.75,1,-1,0.09550669277027768,2.082020736336005,1.2589039769274035,16,2019-07-26,2019,07,26
2019-10-25,0.05000000000000071,3300.46,0,0,-0.03937713745179361,2.082020736336005,1.2093319419893236,17,2019-10-25,2019,10,25
