date,syl
Jun-19,3.61
Mar-19,3.67
Dec-18,3.8
Sep-18,3.82
Jun-18,3.83
Mar-18,3.89
Dec-17,3.9
Sep-17,3.95
Jun-17,3.95
Mar-17,3.97
Dec-16,4.02
Sep-16,4.04
Jun-16,4.05
Mar-16,4.04
Dec-15,4.05
Sep-15,4.05
Jun-15,4.04
Mar-15,4.05
Dec-14,4.09
Sep-14,4.07
Jun-14,4.08
Mar-14,4.08
Dec-13,4.05
Sep-13,4
Jun-13,4.1
Mar-13,4.1
Dec-12,4.1
Sep-12,4.1
Jun-12,4.1
Mar-12,4.1
Dec-11,4.1
Sep-11,4.1
Jun-11,4.1
Mar-11,4.1
Dec-10,4.1
Sep-10,4
Jun-10,4.2
Mar-10,4.2
Dec-09,4.3
Sep-09,4.3
Jun-09,4.3
Mar-09,4.3
Dec-08,4.2
Sep-08,4
Jun-08,4
Mar-08,4
Dec-07,4
Sep-07,4
Jun-07,4.1
Mar-07,4.1
Dec-06,4.1
Sep-06,4.1
Jun-06,4.2
Mar-06,4.2
Dec-05,4.2
Sep-05,4.2
Jun-05,4.2
Mar-05,4.2
Dec-04,4.2
Sep-04,4.2
Jun-04,4.3
Mar-04,4.3
Dec-03,4.3
Sep-03,4.2
Jun-03,4.2
Mar-03,4.1
Dec-02,4
Sep-02,3.9
Jun-02,3.8
Mar-02,3.6
