date,zx_1,zx_2,zx_3,hs300,zhongzhai10,nh_gyp,nh_ncp,nh_js,nh_nh,zz500,zz1000,sz50,hs300_cz,hs301_jz,zz500_cz,zz501_jz,300zq,300fz
2019/11/5,3523.2998,3525.4637,3373.6499,3978.1216,166.8991,2223.12,778.54,3294.91,1276.8,4987.8364,5337.0832,3022.2749,4977.3668,4966.2596,5319.4812,6977.5711,3838.9782,4416.8308
2019/11/4,3523.2998,3525.4637,3373.6499,3978.1216,166.8991,2223.12,778.54,3294.91,1276.8,4987.8364,5337.0832,3022.2749,4977.3668,4966.2596,5319.4812,6977.5711,3838.9782,4416.8308
2019/11/1,3519.3105,3521.472,3365.5899,3952.3872,167.1028,2224.27,776.24,3304.85,1273.3,4962.3495,5303.9905,3002.6488,4946.0069,4939.5077,5281.18,6972.1344,3814.1175,4388.2862
2019/10/31,3490.1845,3492.3281,3327.9967,3886.7519,166.9589,2226.58,775.02,3297.04,1279.32,4917.4174,5253.8811,2954.734,4833.9271,4851.0751,5232.6169,6913.3747,3749.5901,4316.6635
2019/10/30,3537.3135,3539.486,3402.1721,3891.2255,166.5779,2233.91,776.07,3307.23,1286.88,4947.8954,5313.4166,2952.1181,4834.4088,4865.8214,5257.331,6959.8247,3760.3399,4314.8564
2019/10/29,3561.6575,3563.8449,3432.7996,3910.226,166.7643,2228.81,773.72,3292.71,1287.3,5007.7126,5366.7544,2968.2831,4851.1886,4887.1396,5306.9311,7069.4841,3773.2602,4341.6554
2019/10/28,3589.6774,3591.882,3466.8626,3926.585,166.7539,2226.29,769.65,3291.63,1287.25,5084.4677,5425.7542,2981.3615,4842.4069,4917.9876,5387.7836,7139.4142,3805.9446,4342.0243
2019/10/25,3530.4186,3532.5868,3405.0895,3896.7923,167.3046,2236.38,769.84,3300.46,1293.23,4994.5684,5300.0943,2967.0517,4797.5686,4917.4854,5305.018,7081.5992,3799.8885,4285.0474
2019/10/24,3502.9465,3505.0978,3385.699,3870.6678,167.4651,2231.96,769.81,3289.53,1291.51,4958.2465,5259.4545,2959.0317,4761.7037,4930.3775,5269.8899,7051.9667,3804.744,4224.3802
2019/10/23,3493.6847,3495.8303,3377.7594,3871.0848,167.4444,2214.78,769.65,3261.08,1284.87,4967.1949,5269.7225,2954.3052,4777.4503,4906.1258,5299.9147,7040.0205,3786.1579,4244.8392
2019/10/22,3521.3891,3523.5517,3407.2528,3895.8809,167.487,2207.34,767.44,3251.53,1281.46,5005.5525,5312.4584,2973.2173,4815.2677,4927.0035,5346.6409,7086.0143,3806.8384,4275.7907
2019/10/21,3504.4219,3506.5741,3389.3532,3880.8398,167.4495,2201.53,769.6,3237.44,1281.25,4951.0354,5247.2982,2968.9051,4785.132,4929.5422,5290.1451,7033.0269,3807.5319,4243.0753
2019/10/18,3520.1222,3522.284,3405.8639,3869.3777,167.7823,2216.44,758.21,3249.34,1291.04,4961.8072,5280.5324,2963.1753,4777.0353,4899.2414,5307.3488,7035.3849,3786.1145,4241.2548
2019/10/17,3570.1138,3572.3063,3460.0627,3925.2216,168.0119,2212.39,755.51,3250.46,1284.98,5029.854,5347.2673,3011.7535,4839.5086,4981.2869,5380.7233,7131.5982,3854.0764,4288.4394
2019/10/16,3584.9111,3587.1127,3482.2285,3922.6854,167.8951,2217.3,756.2,3255.62,1288.69,5038.356,5353.0154,3004.7233,4826.3527,4977.4449,5377.6829,7167.8015,3852.0111,4285.221
2019/10/15,3604.9843,3607.1982,3505.6897,3936.2498,167.8492,2245.82,753.98,3301.72,1300.82,5061.0029,5375.5288,3015.4202,4842.8012,4977.3298,5401.2869,7205.6737,3860.1052,4305.5423
2019/10/14,3629.3187,3631.5476,3530.5624,3953.2411,167.9043,2258.19,754.76,3305.85,1314.46,5131.1312,5455.6064,3013.5334,4846.1611,4998.5784,5483.4346,7268.8545,3878.5839,4322.2151
2019/10/11,3561.5818,3563.7691,3470.5539,3911.7253,167.9597,2258.92,757.52,3323.6,1309.26,5055.5165,5370.6541,2983.1198,4805.5812,4935.5014,5414.437,7177.1179,3832.8718,4282.0691
2019/10/10,3533.7735,3535.9437,3444.336,3874.6391,168.2473,2265.45,754.65,3344.84,1307.67,5046.3594,5366.9254,2940.8002,4760.1805,4864.6755,5410.2491,7132.3612,3775.538,4263.581
2019/10/9,3492.8803,3495.0254,3406.0833,3843.2392,168.3787,2256.23,753.23,3322.62,1307.43,4982.9535,5285.1493,2922.9797,4716.0603,4855.5337,5322.5054,7077.4449,3763.4753,4209.5115
2019/10/8,3462.9376,3465.0643,3387.1177,3837.6791,168.3752,2259.42,749.79,3341.53,1303.27,4941.7607,5237.1816,2922.348,4732.9565,4823.6868,5281.5181,7027.3813,3735.5719,4227.072
2019/9/30,3437.4004,3439.5114,3356.2754,3814.5282,167.8893,2275.5,736.73,3369.53,1310.25,4940.903,5232.3865,2897.7027,4694.395,4775.7252,5293.5017,6972.1904,3705.9379,4209.0477
2019/9/27,3461.6098,3463.7357,3381.3195,3852.6534,167.8337,2262.38,739.7,3343.25,1306.39,5005.6299,5291.4359,2929.4659,4746.7526,4814.9515,5365.8622,7053.9383,3746.8466,4247.0419
2019/9/26,3453.3068,3455.4276,3371.272,3841.1388,167.9909,2277.54,745.55,3339.96,1325.36,4970.2403,5244.0766,2927.8766,4738.0236,4822.8542,5324.064,7045.6477,3749.2503,4220.0249
2019/9/25,3540.8091,3542.9837,3463.7747,3870.9837,168.1412,2282.82,747.65,3342.95,1329.13,5087.0091,5421.6247,2928.8351,4775.2786,4811.1024,5443.0409,7127.8912,3747.4094,4285.4287
2019/9/24,3586.761,3588.9638,3512.364,3901.0758,168.1021,2284.22,745.56,3345.93,1329.5,5180.7418,5528.8929,2940.0806,4813.6934,4824.266,5533.1542,7223.2192,3753.4091,4343.1017
2019/9/23,3573.9301,3576.125,3510.298,3890.6616,168.252,2316.2,749.17,3377.61,1350.18,5171.484,5501.2148,2930.9132,4780.6037,4828.7052,5508.4494,7226.3724,3754.854,4319.4267
2019/9/20,3605.565,3607.7793,3548.6011,3935.6511,168.1784,2288.17,752.8,3330.13,1340.23,5204.4848,5556.4776,2963.4349,4832.3275,4888.1803,5550.1231,7302.458,3800.0609,4367.4902
2019/9/19,3610.9088,3613.1264,3555.1068,3924.3823,168.0983,2296.44,757.29,3330.45,1350.18,5191.6687,5550.4072,2956.8294,4808.3841,4880.2293,5535.0413,7308.0213,3794.8077,4349.0551
2019/9/18,3580.8637,3583.0628,3532.551,3910.0837,167.9339,2324.48,762.22,3391.22,1356.11,5141.0381,5485.8788,2954.3577,4796.0322,4877.1341,5474.8219,7282.7641,3788.7997,4324.9707
2019/9/17,3565.6445,3567.8342,3522.602,3891.2208,168.3087,2351.39,764.48,3403.85,1381.76,5140.4502,5492.2224,2937.0077,4741.3126,4867.0556,5463.7746,7275.2392,3786.7876,4286.9666
2019/9/16,3637.652,3639.8859,3598.3634,3957.7154,168.4302,2344.39,761.39,3431.72,1361.66,5250.3398,5627.2352,2982.4481,4813.6824,4947.6389,5563.813,7418.2505,3856.3874,4355.0817
2019/9/12,3637.6821,3639.916,3597.3861,3972.3799,168.3867,2325.78,756.6,3455.94,1331.57,5242.6115,5592.9216,2999.5617,4824.3215,4974.8301,5560.3882,7416.5913,3882.7538,4358.5178
2019/9/11,3616.941,3619.1621,3569.6405,3930.0999,168.7793,2308.65,759.46,3411.68,1331.25,5217.2913,5566.4083,2957.1439,4749.232,4917.4991,5540.8666,7374.1498,3833.2763,4320.7
2019/9/10,3621.0229,3623.2465,3573.1481,3959.265,168.8464,2304.35,760.6,3403.56,1330.79,5245.305,5614.5756,2969.8048,4821.2021,4902.9933,5565.1714,7388.3976,3821.0682,4395.5169
2019/9/9,3606.0575,3608.2719,3555.5643,3972.9484,169.0691,2306.36,760.39,3404.06,1332.97,5263.4594,5602.2416,2981.5862,4848.2456,4927.6359,5588.5672,7390.155,3835.6852,4409.2239
